Radionuclide,Element,Z,A,Metastable_State,Atomic_Mass,Is_Stable,Half_Life_Second,Half_Life_Readable,Half_Life_Value,Half_Life_Unit,Num_Decay_Modes,Decay_Modes,Branching_Ratios,Progeny,Decay_Energy_EM,Decay_Energy_LP,Decay_Energy_HP,Decay_Energy_Neutrino,Decay_Energy_Gamma,Decay_Energy_Xray,Decay_Energy_Beta_Minus,Decay_Energy_Beta_Plus,Decay_Energy_Alpha,Decay_Energy_Neutron,Decay_Energy_Proton,Decay_Effective_Q
Li-9,Li,3,9,,9.02679771470071,False,0.1783,178.30 ms,178.29999999999998,ms,2,"['β-', 'β-,n']","[np.float64(0.505), np.float64(0.495)]","['Be-9', 'Be-8']",29895.7,5696250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ar-52,Ar,18,52,,51.99679580664224,False,0.01,10.00 ms,10.0,ms,1,['β-'],[np.float64(1.0)],['K-52'],5017667.0,5017667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O-15,O,8,15,,15.00306886410001,False,122.24,2.04 m,2.037333333333333,m,1,['β+&EC'],[np.float64(1.0)],['N-15'],1020979.0,734647.2,0.0,998600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2754000.0
Ca-45,Ca,20,45,,44.95620123208464,False,14049500.0,162.61 d,162.6099537037037,d,2,"['β-', 'β-']","[np.float64(0.999981), np.float64(1.9e-05)]","['Sc-45', 'Sc-45M']",0.0,76860.28,0.0,178900.0,0.0,0.0,76860.0,0.0,0.0,0.0,0.0,255800.0
Sm-143,Sm,62,143,,142.91465599050514,False,525.0,8.75 m,8.75,m,1,['β+&EC'],[np.float64(1.0)],['Pm-143'],512698.8,478569.2,0.0,2387000.0,48250.0,0.0,0.0,0.0,0.0,0.0,0.0,3443000.0
Zn-69,Zn,30,69,,68.92657673295001,False,3384.0,56.40 m,56.4,m,1,['β-'],[np.float64(1.0)],['Ga-69'],6.000241,321597.9,0.0,588500.0,6.0,0.0,321600.0,0.0,0.0,0.0,0.0,910100.0
Sc-45,Sc,21,45,,44.955928892460314,True,inf,Stable,inf,s,0,[None],[np.float64(0.0)],[None],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co-54M,Co,27,54,M,53.94848242106565,False,88.8,1.48 m,1.48,m,1,['β+&EC'],[np.float64(1.0)],['Fe-54'],3964144.0,2048659.0,0.0,2427000.0,2947000.0,0.0,0.0,0.0,0.0,0.0,0.0,8442000.0
Lr-261,Lr,103,261,,261.10692608416815,False,2340.0,39.00 m,39.0,m,1,['SF'],[np.float64(1.0)],['X'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ir-174,Ir,77,174,,173.9669208222976,False,7.9,7.90 s,7.9,s,2,"['β+&EC', 'α']","[np.float64(0.995), np.float64(0.005)]","['Os-174', 'Re-170']",3027309.0,3027309.0,28120.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xe-121,Xe,54,121,,120.91153080926057,False,2406.0,40.10 m,40.1,m,1,['β+&EC'],[np.float64(1.0)],['I-121'],1458730.0,557046.6,0.0,1803000.0,965700.0,0.0,0.0,0.0,0.0,0.0,0.0,3776000.0
Ar-39,Ar,18,39,,38.96432603087693,False,8488990000.0,269.00 y,268.99986057241364,y,1,['β-'],[np.float64(1.0)],['K-39'],0.0,218800.0,0.0,346200.0,0.0,0.0,218800.0,0.0,0.0,0.0,0.0,565000.0
No-262,No,102,262,,262.1074211707074,False,0.005,5.00 ms,5.0,ms,1,['SF'],[np.float64(1.0)],['X'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
